C,0,8.2
D,2,9.2
E,4,10.3
G,7,12.2
A,9,13.8
C,12,16.4
D,14,18.4
E,16,20.6
G,19,24.5
A,21,27.5
C,24,32.7
D,26,36.7
E,28,41.2
G,31,49.0
A,33,55.0
C,36,65.4
D,38,73.4
E,40,82.4
G,43,98.0
A,45,110.0
C,48,130.8
D,50,146.8
E,52,164.8
G,55,196.0
A,57,220.0
C,60,261.6
D,62,293.7
E,64,329.6
G,67,392.0
A,69,440.0
C,72,523.3
D,74,587.3
E,76,659.3
G,79,784.0
A,81,880.0
C,84,1046.5
D,86,1174.7
E,88,1318.5
G,91,1568.0
A,93,1760.0
C,96,2093.0
D,98,2349.3
E,100,2637.0
G,103,3136.0
A,105,3520.0
C,108,4186.0
D,110,4698.6
E,112,5274.0
G,115,6271.9
A,117,7040.0
C,120,8372.0
D,122,9397.3
E,124,10548.1
G,127,12543.9
